name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
San Diego Padres,1989,162,89,73,642,5422,1360,215,32,120,552,1013.0,136.0,547,3.38,21,152
Seattle Mariners,1989,162,73,89,694,5512,1417,237,29,134,489,838.0,81.0,639,4.0,15,143
San Francisco Giants,1989,162,92,70,699,5469,1365,241,52,141,508,1071.0,87.0,534,3.3,12,113
St. Louis Cardinals,1989,164,86,76,632,5492,1418,263,47,73,507,848.0,155.0,545,3.36,18,111
Texas Rangers,1989,162,83,79,695,5458,1433,260,46,122,503,989.0,101.0,623,3.91,26,136
Toronto Blue Jays,1989,162,89,73,731,5581,1449,265,40,142,521,923.0,144.0,584,3.58,12,126
Atlanta Braves,1990,162,65,97,682,5504,1376,263,26,162,473,1010.0,92.0,727,4.58,17,158
Baltimore Orioles,1990,161,76,85,669,5410,1328,234,22,132,660,962.0,94.0,644,4.04,10,91
Boston Red Sox,1990,162,88,74,699,5516,1502,298,31,106,598,795.0,53.0,596,3.72,15,123
California Angels,1990,162,80,82,690,5570,1448,237,27,147,566,1000.0,69.0,612,3.79,21,140
Chicago White Sox,1990,162,94,68,682,5402,1393,251,44,106,478,903.0,140.0,581,3.61,17,124
Chicago Cubs,1990,162,77,85,690,5600,1474,240,36,136,406,869.0,151.0,695,4.34,13,122
Cincinnati Reds,1990,162,91,71,693,5525,1466,284,40,125,466,913.0,166.0,548,3.39,14,102
Cleveland Indians,1990,162,77,85,732,5485,1465,266,41,110,458,836.0,107.0,675,4.26,12,117
Detroit Tigers,1990,162,79,83,750,5479,1418,241,32,172,634,952.0,82.0,698,4.39,15,131
Houston Astros,1990,162,75,87,573,5379,1301,209,32,94,548,997.0,179.0,582,3.61,12,131
Kansas City Royals,1990,161,75,86,707,5488,1465,316,44,100,498,879.0,107.0,620,3.93,18,122
Los Angeles Dodgers,1990,162,86,76,728,5491,1436,222,27,129,538,952.0,141.0,596,3.72,29,130
Minnesota Twins,1990,162,74,88,666,5499,1458,281,39,100,445,749.0,96.0,657,4.12,13,101
Milwaukee Brewers,1990,162,74,88,732,5503,1408,247,36,128,519,821.0,164.0,655,4.08,23,149
Montreal Expos,1990,162,85,77,662,5453,1363,227,43,114,576,1024.0,235.0,552,3.37,18,110
New York Yankees,1990,162,67,95,603,5483,1322,208,19,147,427,1027.0,119.0,675,4.21,15,126
New York Mets,1990,162,91,71,775,5504,1410,278,21,172,536,851.0,110.0,547,3.42,18,132
Oakland Athletics,1990,162,103,59,733,5433,1379,209,22,164,651,992.0,141.0,514,3.18,18,87
Philadelphia Phillies,1990,162,77,85,646,5535,1410,237,27,103,582,915.0,108.0,655,4.07,18,117
Pittsburgh Pirates,1990,162,95,67,733,5388,1395,288,42,138,582,914.0,137.0,547,3.4,18,134
San Diego Padres,1990,162,75,87,673,5554,1429,243,35,123,509,902.0,138.0,597,3.68,21,141
Seattle Mariners,1990,162,77,85,640,5474,1419,251,26,107,596,749.0,105.0,592,3.69,21,130
San Francisco Giants,1990,162,85,77,719,5573,1459,221,35,152,488,973.0,109.0,656,4.08,14,107
St. Louis Cardinals,1990,162,70,92,599,5462,1398,255,41,73,517,844.0,221.0,620,3.87,8,129
Texas Rangers,1990,162,83,79,676,5469,1416,257,27,110,575,1054.0,115.0,615,3.83,25,133
Toronto Blue Jays,1990,162,86,76,767,5589,1479,263,50,167,526,970.0,111.0,620,3.84,6,86
Atlanta Braves,1991,162,94,68,749,5456,1407,255,30,141,563,906.0,165.0,563,3.49,18,138
Baltimore Orioles,1991,162,67,95,686,5604,1421,256,29,170,528,974.0,50.0,743,4.59,8,89
Boston Red Sox,1991,162,84,78,731,5530,1486,305,25,126,593,820.0,59.0,641,4.01,15,116
California Angels,1991,162,81,81,653,5470,1396,245,29,115,448,928.0,94.0,591,3.69,18,102
Chicago White Sox,1991,162,87,75,758,5594,1464,226,39,139,610,896.0,134.0,622,3.79,28,116
Chicago Cubs,1991,160,77,83,695,5522,1395,232,26,159,442,879.0,123.0,652,4.03,12,113
Cincinnati Reds,1991,162,74,88,689,5501,1419,250,27,164,488,1006.0,124.0,613,3.83,7,125
Cleveland Indians,1991,162,57,105,576,5470,1390,236,26,79,449,888.0,84.0,677,4.23,22,142
Detroit Tigers,1991,162,84,78,817,5547,1372,259,26,209,699,1185.0,109.0,727,4.51,18,104
Houston Astros,1991,162,65,97,605,5504,1345,240,43,79,502,1027.0,125.0,646,4.0,7,161
Kansas City Royals,1991,162,82,80,727,5584,1475,290,41,117,523,969.0,119.0,639,3.92,17,125
Los Angeles Dodgers,1991,162,93,69,665,5408,1366,191,29,108,583,957.0,126.0,496,3.06,15,123
Minnesota Twins,1991,162,95,67,776,5556,1557,270,42,140,526,747.0,107.0,594,3.69,21,94
Milwaukee Brewers,1991,162,83,79,799,5611,1523,247,53,116,556,802.0,106.0,673,4.14,23,118
Montreal Expos,1991,161,71,90,579,5412,1329,236,42,95,484,1056.0,221.0,582,3.64,12,131
New York Yankees,1991,162,71,91,674,5541,1418,249,19,147,473,861.0,109.0,709,4.42,3,133
New York Mets,1991,161,77,84,640,5359,1305,250,24,117,578,789.0,153.0,568,3.56,12,143
Oakland Athletics,1991,162,84,78,760,5410,1342,246,19,159,642,981.0,151.0,733,4.57,14,107
Philadelphia Phillies,1991,162,78,84,629,5521,1332,248,33,111,490,1026.0,92.0,627,3.86,16,116
Pittsburgh Pirates,1991,162,98,64,768,5449,1433,259,50,126,620,901.0,124.0,557,3.44,18,120
San Diego Padres,1991,162,84,78,636,5408,1321,204,36,121,501,1069.0,101.0,576,3.57,14,113
Seattle Mariners,1991,162,83,79,702,5494,1400,268,29,126,588,811.0,97.0,617,3.79,10,110
San Francisco Giants,1991,162,75,87,649,5463,1345,215,48,141,471,973.0,95.0,646,4.03,10,108
St. Louis Cardinals,1991,162,84,78,651,5362,1366,239,53,68,532,857.0,202.0,588,3.69,9,105
Texas Rangers,1991,162,85,77,829,5703,1539,288,31,177,596,1039.0,102.0,735,4.47,9,134
Toronto Blue Jays,1991,162,91,71,684,5489,1412,295,45,133,499,1043.0,148.0,569,3.5,10,127
Atlanta Braves,1992,162,98,64,682,5480,1391,223,48,138,493,924.0,126.0,509,3.14,26,109
Baltimore Orioles,1992,162,89,73,705,5485,1423,243,36,148,647,827.0,89.0,617,3.79,20,93
Boston Red Sox,1992,162,73,89,599,5461,1343,259,21,84,591,865.0,44.0,576,3.58,22,139
California Angels,1992,162,72,90,579,5364,1306,202,20,88,416,882.0,160.0,617,3.84,26,134
Chicago White Sox,1992,162,86,76,738,5498,1434,269,36,110,622,784.0,160.0,620,3.82,21,129
Chicago Cubs,1992,162,78,84,593,5590,1420,221,41,104,417,816.0,77.0,553,3.39,16,114
Cincinnati Reds,1992,162,90,72,660,5460,1418,281,44,99,563,888.0,125.0,557,3.46,9,96
Cleveland Indians,1992,162,76,86,674,5620,1495,227,24,127,448,885.0,144.0,671,4.11,13,141
Detroit Tigers,1992,162,75,87,791,5515,1411,256,16,182,675,1055.0,66.0,733,4.6,10,116
Houston Astros,1992,162,81,81,608,5480,1350,255,38,96,506,1025.0,139.0,603,3.72,5,112
Kansas City Royals,1992,162,72,90,610,5501,1411,284,42,75,439,741.0,131.0,613,3.81,9,122
Los Angeles Dodgers,1992,162,63,99,548,5368,1333,201,34,72,503,899.0,142.0,545,3.41,18,173
Minnesota Twins,1992,162,90,72,747,5582,1544,275,27,104,527,834.0,123.0,597,3.7,16,94
Milwaukee Brewers,1992,162,92,70,740,5504,1477,272,35,82,511,779.0,256.0,555,3.43,19,89
